date,con,asy,atc
2022-07-28,0,1,0
2022-07-30,1,0,0
2022-07-31,1,0,0
2022-08-01,7,0,0
2022-08-03,2,0,0
2022-08-08,2,3,0
2022-08-09,8,2,1
2022-08-10,4,0,0
2022-08-11,5,0,0
2022-08-12,2,0,0
2022-08-13,3,1,0
2022-08-14,6,1,0
2022-08-15,11,1,0
2022-08-16,8,0,0
2022-08-17,10,0,0
2022-08-18,14,2,0
2022-08-19,5,5,1
2022-08-20,2,1,0
2022-08-21,8,0,0
2022-08-22,4,0,0
2022-08-23,0,1,0
2022-08-24,0,1,0
2022-08-25,0,3,0
2022-08-26,0,17,0
2022-08-27,0,5,0
2022-08-28,1,0,0
2022-09-05,1,0,0
2022-09-07,0,3,0
2022-09-08,0,3,0
2022-09-09,0,2,0
2022-09-12,1,1,0
2022-09-15,3,0,0
2022-09-17,3,0,0
2022-09-21,1,0,0
2022-09-29,3,0,0
2022-09-30,1,0,0
2022-10-01,2,0,0
2022-10-02,4,0,0
2022-10-03,1,1,0
2022-10-05,0,1,0
2022-10-06,1,0,0
2022-10-07,0,3,0
2022-10-08,0,4,0
2022-04-12,7,7,2
2022-04-13,9,15,6
2022-04-14,10,7,1
2022-04-15,6,64,1
2022-04-16,2,21,1
2022-04-17,0,18,0
2022-04-18,0,6,0
2022-04-19,2,0,2
2022-04-20,1,1,1
2022-04-21,1,1,1
2022-04-22,1,1,0
2022-04-24,1,0,1
2022-04-26,1,0,0
2022-04-27,0,1,0
2022-04-28,1,0,0
2022-05-01,1,0,0
2022-05-02,3,0,0
2022-05-03,0,1,0
2022-05-05,0,1,0
2022-05-09,1,0,0
2022-05-10,2,0,0
2022-05-13,1,0,0
2022-05-16,1,0,0
2022-05-21,0,1,0
2022-05-22,1,0,0
2022-05-23,0,1,0
2022-06-06,0,1,0
2022-06-07,0,2,0
2022-06-08,0,2,0
2022-06-09,0,1,0
2022-06-10,0,1,0
2022-06-11,0,1,0
2022-07-03,1,9,0
2022-07-04,0,7,0
2022-07-05,8,6,6
2022-07-06,2,17,0
2022-07-07,3,14,0
2022-07-08,3,18,0
2022-07-09,1,7,1
2022-07-10,0,18,0
2022-07-11,0,11,0
2022-07-12,0,2,0
2022-07-13,0,1,0
2022-07-14,0,3,0
2022-07-15,0,1,0
2022-07-16,0,3,0
2022-10-09,5,4,2
2022-10-10,6,2,4
2022-10-11,3,0,2
2022-10-12,3,2,2
2022-10-14,3,1,2
2022-10-18,1,2,0
2022-10-20,0,1,0
2022-10-19,1,0,0
2022-10-21,1,0,1
2022-10-23,0,23,0
2022-10-24,1,56,0
2022-10-25,13,80,1
2022-10-26,31,78,17
2022-10-27,13,163,2
2022-10-28,10,94,6
2022-10-29,41,168,23
2022-10-30,12,165,1
2022-10-31,82,123,68
2022-11-01,39,85,32
2022-11-02,52,84,37
2022-11-03,39,67,35
2022-11-04,44,56,40
2022-11-05,4,38,2
2022-11-06,5,35,2
2022-11-07,3,32,2
