date,con,asy,atc
2022-07-19,0,3,0
2022-07-21,0,3,0
2022-07-22,1,7,1
2022-07-23,0,15,0
2022-07-24,0,9,0
2022-07-25,0,7,0
2022-07-26,0,2,0
2022-07-28,0,1,0
2022-07-29,0,1,0
2022-07-31,0,2,0
2022-08-02,0,1,0
2022-08-03,0,1,0
2022-08-09,0,1,0
2022-08-11,1,0,0
2022-08-14,0,1,0
2022-08-15,1,2,0
2022-08-16,1,4,0
2022-08-17,1,3,0
2022-08-18,0,1,0
2022-08-19,2,3,0
2022-08-20,2,2,0
2022-08-21,1,4,0
2022-08-22,2,0,0
2022-08-23,2,2,1
2022-08-24,1,2,0
2022-08-25,0,1,0
2022-08-26,1,1,1
2022-08-28,0,2,0
2022-09-01,1,1,1
2022-09-02,2,0,1
2022-09-04,0,1,0
2022-09-07,4,2,0
2022-09-08,3,2,0
2022-09-09,2,1,1
2022-09-10,1,2,0
2022-09-11,0,1,0
2022-09-12,3,3,1
2022-09-14,1,1,0
2022-09-15,1,4,0
2022-09-16,1,3,0
2022-09-17,0,6,0
2022-09-18,0,4,0
2022-09-19,3,3,2
2022-09-20,5,2,1
2022-09-21,0,3,0
2022-09-22,2,4,1
2022-09-23,3,12,1
2022-09-24,0,1,0
2022-09-26,9,20,0
2022-09-25,3,3,0
2022-09-27,4,8,0
2022-09-28,6,20,0
2022-09-29,6,25,0
2022-09-30,5,16,0
2022-10-01,6,8,0
2022-10-02,6,28,1
2022-10-03,14,27,1
2022-10-04,23,50,2
2022-10-05,10,30,5
2022-10-06,23,26,5
2022-10-07,12,26,0
2022-10-08,14,36,3
2022-04-12,1,10,0
2022-04-13,3,7,0
2022-04-14,6,16,0
2022-04-15,0,56,0
2022-04-16,0,51,0
2022-04-17,0,31,0
2022-04-18,1,13,0
2022-04-19,0,5,0
2022-04-20,1,6,0
2022-04-21,2,9,0
2022-04-22,0,14,0
2022-04-23,1,8,1
2022-04-24,0,14,0
2022-04-25,0,6,0
2022-04-26,0,3,0
2022-04-27,0,1,0
2022-04-28,1,3,1
2022-04-29,0,4,0
2022-04-30,0,1,0
2022-05-01,0,1,0
2022-05-02,0,2,0
2022-05-04,0,2,0
2022-05-05,0,2,0
2022-05-15,0,1,0
2022-05-26,1,0,0
2022-05-27,0,1,0
2022-05-30,1,1,0
2022-05-31,0,1,0
2022-06-01,0,1,0
2022-06-03,0,1,0
2022-06-05,0,1,0
2022-06-07,0,3,0
2022-06-08,0,1,0
2022-06-10,0,1,0
2022-06-11,0,3,0
2022-06-12,0,3,0
2022-06-13,0,3,0
2022-06-14,0,1,0
2022-06-16,0,1,0
2022-06-24,0,2,0
2022-06-26,0,1,0
2022-06-28,0,1,0
2022-10-09,28,49,2
2022-10-10,11,37,1
2022-10-11,4,48,0
2022-10-12,9,53,5
2022-10-13,8,50,0
2022-10-14,2,32,0
2022-10-15,5,27,1
2022-10-16,6,31,2
2022-10-17,6,27,0
2022-10-18,3,30,1
2022-10-20,3,37,0
2022-10-19,2,45,0
2022-10-21,1,39,0
2022-10-22,2,23,0
2022-10-23,3,31,0
2022-10-24,2,31,0
2022-10-25,4,26,0
2022-10-26,0,10,0
2022-10-27,2,28,0
2022-10-28,3,31,1
2022-10-29,4,52,0
2022-10-30,3,70,0
2022-10-31,3,98,0
2022-11-01,3,29,2
2022-11-02,4,50,0
2022-11-03,5,34,1
2022-11-04,9,58,0
2022-11-05,11,39,1
2022-11-06,10,30,1
2022-11-07,7,34,0
2022-11-08,13,39,0
2022-11-09,14,91,1
2022-11-10,14,106,1
2022-11-11,9,73,2
2022-11-12,41,255,9
2022-11-13,34,128,16
2022-11-14,37,248,16
2022-11-15,22,185,2
2022-11-16,44,159,4
2022-11-17,33,135,1
2022-11-18,51,83,1
2022-11-19,50,109,2
2022-11-20,37,95,2
2022-11-21,147,161,1
2022-11-22,87,255,3
2022-11-23,23,260,4
2022-11-24,47,302,4
2022-11-25,134,386,45
2022-11-26,83,415,10
2022-11-28,144,566,31
2022-11-29,119,581,4
2022-11-27,133,550,40
2022-11-30,103,857,5
2022-12-01,173,1032,41
2022-12-02,110,955,18
2022-12-03,130,898,4
2022-12-04,88,708,5
2022-12-05,53,441,4
2022-12-06,43,411,1
2022-12-07,56,391,2
2022-12-08,45,285,2
2022-12-09,39,228,1
2022-12-10,21,123,1
2022-12-11,19,82,0
2022-12-12,16,80,0
