date,con,asy,atc
2022-09-13,5,1,0
2022-09-25,0,1,0
2022-09-29,4,1,0
2022-09-30,9,4,1
2022-10-01,9,0,3
2022-10-02,23,4,0
2022-10-03,6,6,2
2022-10-04,7,5,3
2022-10-05,12,2,3
2022-10-06,6,4,1
2022-10-07,5,0,3
2022-10-08,3,0,0
2022-10-27,7,0,0
2022-10-28,20,6,0
2022-10-29,27,14,2
2022-10-30,2,67,0
2022-10-31,0,27,0
2022-11-01,1,16,1
2022-11-02,1,15,1
2022-11-03,1,6,1
2022-11-04,1,5,1
2022-11-05,1,3,1
2022-11-06,1,2,1
2022-11-07,0,1,0
2022-11-08,1,0,1
2022-11-09,0,4,0
2022-11-10,0,2,0
2022-11-11,0,3,0
2022-11-18,0,3,0
2022-11-19,1,9,0
2022-11-20,2,14,1
2022-11-21,0,15,0
2022-11-22,4,34,3
2022-11-23,4,33,3
2022-11-24,0,58,0
2022-11-25,1,54,1
2022-11-26,0,53,0
2022-11-27,0,49,0
2022-11-28,0,47,0
2022-11-29,0,38,0
2022-11-30,0,32,0
2022-12-01,0,27,0
2022-12-02,0,23,0
2022-12-03,0,36,0
2022-12-04,0,20,0
2022-12-05,0,18,0
2022-12-06,0,16,0
2022-12-07,0,16,0
2022-12-08,0,13,0
