date,con,asy,atc
2022-07-19,47,306,22
2022-07-20,49,314,29
2022-07-21,52,517,13
2022-07-22,42,329,18
2022-07-23,26,335,17
2022-07-24,24,284,14
2022-07-25,37,306,17
2022-07-26,15,219,12
2022-07-27,23,207,18
2022-07-28,21,112,14
2022-07-29,19,86,13
2022-07-30,31,103,24
2022-07-31,15,66,11
2022-08-01,10,69,8
2022-08-02,10,37,10
2022-08-03,0,11,0
2022-08-04,0,10,0
2022-08-05,0,2,0
2022-08-06,0,7,0
2022-08-07,0,3,0
2022-08-08,0,2,0
2022-08-09,0,1,0
2022-08-10,1,6,0
2022-08-11,1,0,0
2022-08-12,0,5,0
2022-08-13,0,1,0
2022-08-15,0,1,0
2022-08-16,0,1,0
2022-08-17,0,3,0
2022-08-18,0,6,0
2022-08-19,0,5,0
2022-08-20,1,15,0
2022-08-21,3,8,0
2022-08-22,0,23,0
2022-08-23,3,4,1
2022-08-24,0,2,0
2022-08-25,0,8,0
2022-08-26,1,40,0
2022-08-27,0,21,0
2022-08-28,2,28,0
2022-08-29,0,37,0
2022-08-30,1,41,0
2022-08-31,1,56,0
2022-09-01,0,42,0
2022-09-02,0,24,0
2022-09-03,0,16,0
2022-09-04,0,12,0
2022-09-05,0,10,0
2022-09-06,0,6,0
2022-09-07,0,5,0
2022-09-08,0,3,0
2022-09-09,1,14,0
2022-09-10,0,12,0
2022-09-11,0,17,0
2022-09-12,2,22,0
2022-09-13,0,13,0
