date,con,asy,atc
2022-07-19,21,256,0
2022-07-20,52,135,39
2022-07-21,21,132,2
2022-07-22,35,174,10
2022-07-23,23,325,9
2022-07-24,22,210,4
2022-07-25,32,370,9
2022-07-26,33,236,20
2022-07-27,32,131,15
2022-07-28,10,121,2
2022-07-29,15,87,4
2022-07-30,32,143,19
2022-07-31,9,61,6
2022-08-01,9,96,7
2022-08-02,4,74,2
2022-08-03,2,62,1
2022-08-04,16,34,13
2022-08-05,4,27,1
2022-08-06,3,19,0
2022-08-07,2,10,2
2022-08-08,1,25,1
2022-08-09,2,11,2
2022-08-10,0,5,0
2022-08-11,0,5,0
2022-08-12,1,4,1
2022-08-13,1,2,1
2022-08-14,0,3,0
2022-08-15,1,1,1
2022-08-16,0,2,0
2022-08-17,0,5,0
2022-08-18,0,6,0
2022-08-19,0,3,0
2022-08-20,0,4,0
2022-08-21,0,4,0
2022-08-22,0,5,0
2022-08-23,0,6,0
2022-08-24,0,8,0
2022-08-25,0,13,0
2022-08-26,0,8,0
2022-08-27,0,8,0
2022-08-28,0,8,0
2022-08-29,0,14,0
2022-08-30,0,7,0
2022-08-31,0,9,0
2022-09-01,0,8,0
2022-09-02,0,9,0
2022-09-03,0,18,0
2022-09-04,0,17,0
2022-09-05,1,28,0
2022-09-06,0,68,0
2022-09-07,8,64,2
2022-09-08,22,77,0
2022-09-09,12,81,0
2022-09-10,3,60,0
2022-09-11,3,26,0
2022-09-12,2,39,0
2022-09-13,7,51,0
2022-09-14,5,55,0
2022-09-15,4,51,0
2022-09-16,4,45,0
2022-09-17,1,28,0
2022-09-18,2,29,0
2022-09-19,0,7,0
2022-09-20,0,10,0
2022-09-21,0,15,0
2022-09-22,0,8,0
2022-09-23,0,5,0
