date,con,asy,atc
2022-07-19,0,14,0
2022-07-20,0,14,0
2022-07-21,0,10,0
2022-07-22,0,9,0
2022-07-23,0,3,0
2022-07-24,0,4,0
2022-07-25,0,2,0
2022-07-26,0,1,0
2022-07-27,0,3,0
2022-07-28,0,2,0
2022-07-29,0,2,0
2022-07-30,0,7,0
2022-07-31,0,1,0
2022-08-01,0,4,0
2022-08-04,0,1,0
2022-08-05,0,1,0
2022-08-08,0,1,0
2022-08-24,2,0,0
2022-08-25,0,1,0
2022-08-26,1,1,0
2022-08-27,2,5,0
2022-08-28,4,27,0
2022-08-29,8,43,0
2022-08-30,19,38,0
2022-08-31,5,29,0
2022-09-01,1,32,0
2022-09-02,3,18,0
2022-09-03,3,19,0
2022-09-04,2,12,0
2022-09-05,0,12,0
2022-09-06,0,7,0
2022-09-07,1,2,0
2022-09-08,1,4,0
2022-09-09,2,5,0
2022-09-10,1,5,0
2022-09-11,1,3,0
2022-09-12,0,2,0
2022-09-13,0,4,0
2022-09-14,1,10,0
2022-09-15,9,27,0
2022-09-16,5,40,0
2022-09-17,0,28,0
2022-09-18,8,18,0
2022-09-19,3,15,0
2022-09-20,3,8,0
2022-09-21,1,10,0
2022-09-22,1,10,0
2022-09-23,3,3,0
2022-09-24,3,9,0
2022-09-26,4,38,0
2022-09-25,3,16,0
2022-09-27,8,47,0
2022-09-28,13,26,0
2022-09-29,11,61,0
2022-09-30,3,24,0
2022-10-01,3,26,0
2022-10-02,1,20,0
2022-10-03,1,18,0
2022-10-04,2,57,0
2022-10-05,3,57,0
2022-10-06,4,11,0
2022-10-07,0,8,0
2022-10-08,0,4,0
2022-04-12,1,1,0
2022-04-14,1,1,0
2022-04-24,1,0,0
2022-04-25,0,2,0
2022-04-30,0,1,0
2022-05-12,0,1,0
2022-05-13,0,2,0
2022-05-15,0,4,0
2022-05-16,7,23,0
2022-05-17,16,39,10
2022-05-18,7,26,4
2022-05-19,8,11,4
2022-05-20,6,17,0
2022-05-21,36,20,12
2022-05-22,32,15,20
2022-05-23,16,8,6
2022-05-24,7,11,1
2022-05-25,11,9,2
2022-05-26,7,3,1
2022-05-27,4,3,0
2022-05-28,7,4,0
2022-05-29,6,0,0
2022-05-30,0,5,0
2022-06-01,0,5,0
2022-06-02,0,3,0
2022-06-27,0,4,0
2022-06-28,0,9,0
2022-06-30,0,2,0
2022-07-05,0,5,0
2022-07-06,1,3,0
2022-07-08,0,1,0
2022-07-09,0,1,0
2022-07-18,4,7,0
2022-10-10,0,7,0
2022-10-11,0,4,0
2022-10-12,1,0,0
2022-10-13,0,7,0
2022-10-14,0,7,0
2022-10-15,0,9,0
2022-10-16,0,16,0
2022-10-17,0,8,0
