date,con,asy,atc
2022-07-19,7,7,5
2022-07-20,16,28,5
2022-07-21,6,13,1
2022-07-22,11,10,0
2022-07-23,18,33,3
2022-07-24,34,11,19
2022-07-25,16,14,5
2022-07-26,19,9,15
2022-07-27,17,13,7
2022-07-28,16,29,6
2022-07-29,10,12,3
2022-07-30,5,5,2
2022-07-31,3,4,0
2022-08-01,9,2,4
2022-08-02,1,5,0
2022-08-03,1,0,1
2022-08-04,1,0,0
2022-08-05,1,0,0
2022-08-06,0,2,0
2022-08-07,1,0,0
2022-08-08,1,2,0
2022-08-09,1,1,0
2022-08-10,0,5,0
2022-08-11,1,1,1
2022-08-12,5,3,0
2022-08-13,4,1,0
2022-08-14,2,6,1
2022-08-15,11,4,2
2022-08-16,4,4,2
2022-08-17,4,2,2
2022-08-18,4,4,0
2022-08-19,14,1,3
2022-08-20,12,2,1
2022-08-21,4,5,1
2022-08-22,6,7,3
2022-08-23,15,22,2
2022-08-24,15,23,3
2022-08-25,27,39,10
2022-08-26,54,53,14
2022-08-27,69,78,8
2022-08-28,161,87,13
2022-08-29,167,109,15
2022-08-30,164,107,21
2022-08-31,132,89,6
2022-09-01,128,77,9
2022-09-02,128,74,7
2022-09-03,98,88,7
2022-09-04,105,80,3
2022-09-05,68,70,1
2022-09-06,85,72,8
2022-09-07,69,95,5
2022-09-08,59,71,4
2022-09-09,86,82,25
2022-09-10,97,90,11
2022-09-11,81,62,22
2022-09-12,126,84,29
2022-09-13,127,83,54
2022-09-14,84,159,27
2022-09-15,43,132,18
2022-09-16,34,87,15
2022-09-17,30,82,5
2022-09-18,48,47,27
2022-09-19,33,37,9
2022-09-20,28,27,6
2022-09-21,41,26,18
2022-09-22,43,30,13
2022-09-23,51,51,9
2022-09-24,40,26,11
2022-09-26,58,21,23
2022-09-25,35,13,9
2022-09-27,13,20,4
2022-09-28,5,15,4
2022-09-29,8,17,2
2022-09-30,20,34,7
2022-10-01,25,27,8
2022-10-02,45,40,7
2022-10-03,21,26,9
2022-10-04,32,34,13
2022-10-05,36,43,15
