date,con,asy,atc
2022-08-04,0,1,0
2022-08-05,0,1,0
2022-08-06,1,1,1
2022-08-09,1,1,0
2022-08-11,1,0,1
2022-08-15,1,1,0
2022-08-16,0,1,0
2022-08-17,1,1,0
2022-08-18,1,0,0
2022-08-20,0,1,0
2022-08-21,1,1,0
2022-08-22,0,1,0
2022-08-23,0,2,0
2022-08-24,0,1,0
2022-08-26,1,0,1
2022-09-01,0,3,0
2022-09-02,4,7,1
2022-09-03,3,12,0
2022-09-04,1,25,0
2022-09-05,0,3,0
2022-09-06,1,29,0
2022-09-07,4,16,0
2022-09-08,6,13,1
2022-09-09,5,43,0
2022-09-10,2,122,0
2022-09-11,1,136,0
2022-09-12,0,145,0
2022-09-13,3,246,1
2022-09-14,5,302,0
2022-09-15,10,260,0
2022-09-16,8,146,0
2022-09-17,50,662,6
2022-09-18,12,352,2
2022-09-19,41,208,18
2022-09-20,57,131,9
2022-09-21,42,134,3
2022-09-22,43,103,1
2022-09-23,32,70,4
2022-09-24,86,94,4
2022-09-26,44,81,1
2022-09-25,154,97,90
2022-09-27,56,73,2
2022-09-28,38,58,4
2022-09-29,17,80,1
2022-09-30,2,83,0
2022-10-01,3,24,0
