date,con,asy,atc
2022-08-12,2,3,0
2022-08-13,1,4,0
2022-08-14,3,6,1
2022-08-15,2,8,0
2022-08-16,2,13,0
2022-08-17,3,57,1
2022-08-18,1,34,0
2022-08-19,0,40,0
2022-08-20,4,81,3
2022-08-21,0,64,0
2022-08-22,2,54,1
2022-08-23,3,40,0
2022-08-24,3,114,1
2022-08-25,3,103,1
2022-08-26,2,65,0
2022-08-27,0,76,0
2022-08-28,0,79,0
2022-08-29,2,103,1
2022-08-30,9,84,5
2022-08-31,4,212,1
2022-09-01,5,125,1
2022-09-02,5,104,2
2022-09-03,8,131,4
2022-09-04,4,95,2
2022-09-05,2,93,0
2022-09-06,1,106,0
2022-09-07,1,56,1
2022-09-08,7,15,1
2022-09-09,3,18,1
2022-09-10,1,12,0
2022-09-11,2,5,1
2022-09-12,0,2,0
2022-09-13,0,4,0
2022-09-15,0,1,0
2022-09-16,0,1,0
2022-09-17,0,2,0
2022-09-18,0,2,0
2022-09-19,0,4,0
2022-09-20,0,5,0
2022-09-21,0,5,0
2022-09-22,0,1,0
2022-09-26,2,5,1
2022-09-25,2,16,1
2022-09-27,2,5,1
2022-09-29,0,4,0
2022-09-30,0,1,0
2022-10-06,0,1,0
2022-04-12,0,11,0
2022-04-13,2,12,0
2022-04-14,5,6,1
2022-04-15,2,3,1
2022-04-16,5,7,2
2022-04-17,12,4,1
2022-04-18,1,2,1
2022-04-19,1,1,0
2022-04-20,4,9,0
2022-04-21,10,4,1
2022-04-22,3,6,2
2022-04-24,5,2,1
2022-04-25,1,1,0
2022-04-27,1,0,1
2022-05-06,0,1,0
2022-05-07,4,2,0
2022-05-08,2,18,0
2022-05-09,10,17,1
2022-05-10,10,10,5
2022-05-11,13,25,0
2022-05-12,8,22,0
2022-05-13,4,19,1
2022-05-14,0,7,0
2022-05-15,0,7,0
2022-05-16,0,3,0
2022-05-17,1,0,0
2022-07-10,1,0,0
2022-07-15,0,1,0
2022-10-20,0,4,0
2022-10-19,0,1,0
2022-10-21,0,11,0
2022-10-22,0,19,0
2022-10-23,0,20,0
2022-10-24,0,32,0
2022-10-25,2,87,1
2022-10-26,7,117,0
2022-10-27,6,103,1
2022-10-28,1,85,0
2022-10-29,2,91,0
2022-10-30,5,86,2
2022-10-31,2,126,0
2022-11-01,8,83,0
2022-11-02,3,108,0
2022-11-03,1,115,0
2022-11-04,0,118,0
2022-11-05,5,100,0
2022-11-06,3,115,2
2022-11-07,2,109,0
2022-11-08,4,96,2
2022-11-09,1,276,0
2022-11-10,8,158,3
2022-11-11,8,354,2
2022-11-12,5,300,0
2022-11-13,8,340,0
2022-11-14,8,517,0
2022-11-15,2,531,0
2022-11-16,13,476,7
2022-11-17,6,569,2
2022-11-18,5,537,1
2022-11-19,2,496,1
2022-11-20,9,530,6
2022-11-21,3,576,2
2022-11-22,7,604,4
2022-11-23,8,696,8
2022-11-24,9,729,3
2022-11-25,7,1036,4
2022-11-26,7,1071,4
2022-11-28,7,730,5
2022-11-29,5,722,4
2022-11-27,4,754,4
